pubname,latitude,longitude,variable,value
the finsbury front,51.5718629,-0.096479736,13:00,1
the finsbury back,51.57200417,-0.096062384,13:00,1
the brownswood beer,51.56389624,-0.092998717,13:00,1
the coronet beer,51.55575805,-0.115432155,13:00,1
Famous Cock Tavern beer,51.54599272,-0.103755145,13:00,1
The Compton Arms beer,51.54345668,-0.102033984,13:00,0.75
The Edinboro Castle beer,51.53612298,-0.145124735,13:00,0.5
The Lord Stanley beer,51.54702709,-0.129727984,13:00,1
The Engineer beer,51.53994974,-0.150968973,13:00,1
The Lion And Unicorn beer,51.54817466,-0.138996827,13:00,0.75
The Colonel Fawcett back,51.54165061,-0.135901942,13:00,0.75
The Colonel Fawcett front,51.54182281,-0.13613188,13:00,0.5
The Abbey Tavern Pub beer,51.54581848,-0.141400881,13:00,0.75
The Scolt Head beer,51.5431957,-0.081540679,13:00,1
Myddleton Arms beer,51.54179996,-0.097511117,13:00,1
The Woodman beer,51.57792283,-0.147173871,13:00,1
The Princess Of Wales beer,51.54043443,-0.153888614,13:00,1
The Crooked Billet beer,51.56200256,-0.05718246,13:00,0.25
The Clapton Hart beer,51.55768688,-0.05664084,13:00,1
Royal Sovereign back,51.56251761,-0.063216417,13:00,1
Royal Sovereign front,51.56270628,-0.063254792,13:00,1
The Axe beer,51.56267488,-0.07177452,13:00,1
The Star by Hackney Downs beer,51.55305386,-0.057823233,13:00,1
The Park Tavern beer,51.56798359,-0.111090415,13:00,1
The Stags Head beer,51.53619417,-0.080803491,13:00,0.75
The Duke of Hamilton front,51.55878208,-0.177595517,13:00,1
The Duke of Hamilton back,51.55891685,-0.177572214,13:00,1
The Flask beer,51.56973082,-0.150946693,13:00,1
The Wrestlers front,51.57483758,-0.14995613,13:00,1
The Wrestlers back,51.57498652,-0.149668735,13:00,0.75
The Gatehouse beer,51.57134089,-0.150593922,13:00,1
The Queens beer,51.58081397,-0.121856631,13:00,1
The Great Northern Railway Tavern beer,51.58821102,-0.116349227,13:00,1
Mccaffertys beer,51.5840578,-0.116635974,13:00,1
Intrepid Bakers,51.58710929,-0.119765665,13:00,1
The Goodness Brewing Company beer,51.59298287,-0.114459272,13:00,1
The chequers beer,51.58364722,-0.026795303,13:00,1
Bank of friendship beer,51.55831626,-0.099057338,13:00,1
Queens arms beer,51.58256908,-0.013750419,13:00,1
Nags head beer,51.58409058,-0.010999653,13:00,0.25
Chesham arms beer,51.5474776,-0.050175731,13:00,1
Salpie&Liberty beer,51.59059446,-0.109118438,13:00,1
The Scolt Head,51.54321104,-0.081620717,13:00,1
The Stag,51.55333516,-0.161857874,13:00,1
The Gate,51.55482682,-0.165705414,13:00,1
Sir Richard Steele Pub and Dining,51.54687341,-0.159029812,13:00,0.75
The Freemasons Arms,51.55712667,-0.168751581,13:00,0.75
The Roebuck back,51.55395754,-0.167736466,13:00,1
The Roebuck front,51.55379343,-0.167540645,13:00,0.75
The Gipsy Queen,51.55088742,-0.1548363,13:00,1
Heathcote & Star,51.56562744,0.001892828,13:00,0.5
The Leyton Star,51.55408249,-0.004829438,13:00,1
The Birkbeck Tavern,51.5566454,-5.54e-05,13:00,1
Northcote Arms,51.56034423,-0.001775045,13:00,0.75
The Walnut Tree side,51.56984474,0.012747211,13:00,1
The Birds,51.56894143,0.012337425,13:00,1
The North Star,51.56992164,0.015533465,13:00,1
The Red Lion,51.5680336,0.011231308,13:00,1
The Village Pub,51.58249273,-0.011696542,13:00,1
Hammerton brewery,51.5431114,-0.115395252,13:00,1
the finsbury front,51.5718629,-0.096479736,14:00,0.25
the finsbury back,51.57200417,-0.096062384,14:00,0.75
the brownswood beer,51.56389624,-0.092998717,14:00,1
the coronet beer,51.55575805,-0.115432155,14:00,1
Famous Cock Tavern beer,51.54599272,-0.103755145,14:00,1
The Compton Arms beer,51.54345668,-0.102033984,14:00,0.25
The Edinboro Castle beer,51.53612298,-0.145124735,14:00,0.25
The Lord Stanley beer,51.54702709,-0.129727984,14:00,1
The Engineer beer,51.53994974,-0.150968973,14:00,1
The Lion And Unicorn beer,51.54817466,-0.138996827,14:00,0.25
The Colonel Fawcett back,51.54165061,-0.135901942,14:00,0.75
The Colonel Fawcett front,51.54182281,-0.13613188,14:00,1
The Abbey Tavern Pub beer,51.54581848,-0.141400881,14:00,0.75
The Scolt Head beer,51.5431957,-0.081540679,14:00,1
Myddleton Arms beer,51.54179996,-0.097511117,14:00,0.75
The Woodman beer,51.57792283,-0.147173871,14:00,1
The Princess Of Wales beer,51.54043443,-0.153888614,14:00,1
The Crooked Billet beer,51.56200256,-0.05718246,14:00,0.5
The Clapton Hart beer,51.55768688,-0.05664084,14:00,1
Royal Sovereign back,51.56251761,-0.063216417,14:00,1
Royal Sovereign front,51.56270628,-0.063254792,14:00,1
The Axe beer,51.56267488,-0.07177452,14:00,0.25
The Star by Hackney Downs beer,51.55305386,-0.057823233,14:00,1
The Park Tavern beer,51.56798359,-0.111090415,14:00,1
The Stags Head beer,51.53619417,-0.080803491,14:00,1
The Duke of Hamilton front,51.55878208,-0.177595517,14:00,1
The Duke of Hamilton back,51.55891685,-0.177572214,14:00,0.75
The Flask beer,51.56973082,-0.150946693,14:00,1
The Wrestlers front,51.57483758,-0.14995613,14:00,1
The Wrestlers back,51.57498652,-0.149668735,14:00,0.75
The Gatehouse beer,51.57134089,-0.150593922,14:00,0.75
The Queens beer,51.58081397,-0.121856631,14:00,0.25
The Great Northern Railway Tavern beer,51.58821102,-0.116349227,14:00,1
Mccaffertys beer,51.5840578,-0.116635974,14:00,0.75
Intrepid Bakers,51.58710929,-0.119765665,14:00,1
The Goodness Brewing Company beer,51.59298287,-0.114459272,14:00,1
The chequers beer,51.58364722,-0.026795303,14:00,1
Bank of friendship beer,51.55831626,-0.099057338,14:00,1
Queens arms beer,51.58256908,-0.013750419,14:00,1
Nags head beer,51.58409058,-0.010999653,14:00,0
Chesham arms beer,51.5474776,-0.050175731,14:00,1
Salpie&Liberty beer,51.59059446,-0.109118438,14:00,0.75
The Scolt Head,51.54321104,-0.081620717,14:00,1
The Stag,51.55333516,-0.161857874,14:00,1
The Gate,51.55482682,-0.165705414,14:00,1
Sir Richard Steele Pub and Dining,51.54687341,-0.159029812,14:00,0.75
The Freemasons Arms,51.55712667,-0.168751581,14:00,0.75
The Roebuck back,51.55395754,-0.167736466,14:00,1
The Roebuck front,51.55379343,-0.167540645,14:00,0.75
The Gipsy Queen,51.55088742,-0.1548363,14:00,1
Heathcote & Star,51.56562744,0.001892828,14:00,1
The Leyton Star,51.55408249,-0.004829438,14:00,1
The Birkbeck Tavern,51.5566454,-5.54e-05,14:00,1
Northcote Arms,51.56034423,-0.001775045,14:00,0.75
The Walnut Tree side,51.56984474,0.012747211,14:00,1
The Birds,51.56894143,0.012337425,14:00,1
The North Star,51.56992164,0.015533465,14:00,1
The Red Lion,51.5680336,0.011231308,14:00,1
The Village Pub,51.58249273,-0.011696542,14:00,1
Hammerton brewery,51.5431114,-0.115395252,14:00,1
the finsbury front,51.5718629,-0.096479736,15:00,0.25
the finsbury back,51.57200417,-0.096062384,15:00,1
the brownswood beer,51.56389624,-0.092998717,15:00,1
the coronet beer,51.55575805,-0.115432155,15:00,1
Famous Cock Tavern beer,51.54599272,-0.103755145,15:00,1
The Compton Arms beer,51.54345668,-0.102033984,15:00,0.25
The Edinboro Castle beer,51.53612298,-0.145124735,15:00,0.25
The Lord Stanley beer,51.54702709,-0.129727984,15:00,1
The Engineer beer,51.53994974,-0.150968973,15:00,1
The Lion And Unicorn beer,51.54817466,-0.138996827,15:00,0.25
The Colonel Fawcett back,51.54165061,-0.135901942,15:00,0.75
The Colonel Fawcett front,51.54182281,-0.13613188,15:00,1
The Abbey Tavern Pub beer,51.54581848,-0.141400881,15:00,0.75
The Scolt Head beer,51.5431957,-0.081540679,15:00,1
Myddleton Arms beer,51.54179996,-0.097511117,15:00,0.75
The Woodman beer,51.57792283,-0.147173871,15:00,1
The Princess Of Wales beer,51.54043443,-0.153888614,15:00,1
The Crooked Billet beer,51.56200256,-0.05718246,15:00,0.75
The Clapton Hart beer,51.55768688,-0.05664084,15:00,1
Royal Sovereign back,51.56251761,-0.063216417,15:00,1
Royal Sovereign front,51.56270628,-0.063254792,15:00,1
The Axe beer,51.56267488,-0.07177452,15:00,0.5
The Star by Hackney Downs beer,51.55305386,-0.057823233,15:00,1
The Park Tavern beer,51.56798359,-0.111090415,15:00,1
The Stags Head beer,51.53619417,-0.080803491,15:00,0.25
The Duke of Hamilton front,51.55878208,-0.177595517,15:00,0.5
The Duke of Hamilton back,51.55891685,-0.177572214,15:00,0.75
The Flask beer,51.56973082,-0.150946693,15:00,1
The Wrestlers front,51.57483758,-0.14995613,15:00,0.5
The Wrestlers back,51.57498652,-0.149668735,15:00,0.75
The Gatehouse beer,51.57134089,-0.150593922,15:00,1
The Queens beer,51.58081397,-0.121856631,15:00,0.25
The Great Northern Railway Tavern beer,51.58821102,-0.116349227,15:00,1
Mccaffertys beer,51.5840578,-0.116635974,15:00,0.75
Intrepid Bakers,51.58710929,-0.119765665,15:00,1
The Goodness Brewing Company beer,51.59298287,-0.114459272,15:00,1
The chequers beer,51.58364722,-0.026795303,15:00,1
Bank of friendship beer,51.55831626,-0.099057338,15:00,1
Queens arms beer,51.58256908,-0.013750419,15:00,1
Nags head beer,51.58409058,-0.010999653,15:00,0
Chesham arms beer,51.5474776,-0.050175731,15:00,1
Salpie&Liberty beer,51.59059446,-0.109118438,15:00,0.75
The Scolt Head,51.54321104,-0.081620717,15:00,1
The Stag,51.55333516,-0.161857874,15:00,0.5
The Gate,51.55482682,-0.165705414,15:00,1
Sir Richard Steele Pub and Dining,51.54687341,-0.159029812,15:00,0.25
The Freemasons Arms,51.55712667,-0.168751581,15:00,0.75
The Roebuck back,51.55395754,-0.167736466,15:00,1
The Roebuck front,51.55379343,-0.167540645,15:00,0.75
The Gipsy Queen,51.55088742,-0.1548363,15:00,1
Heathcote & Star,51.56562744,0.001892828,15:00,0.5
The Leyton Star,51.55408249,-0.004829438,15:00,1
The Birkbeck Tavern,51.5566454,-5.54e-05,15:00,1
Northcote Arms,51.56034423,-0.001775045,15:00,1
The Walnut Tree side,51.56984474,0.012747211,15:00,1
The Birds,51.56894143,0.012337425,15:00,1
The North Star,51.56992164,0.015533465,15:00,1
The Red Lion,51.5680336,0.011231308,15:00,1
The Village Pub,51.58249273,-0.011696542,15:00,1
